date,Fall Out Boy,Paramore,Japanese Breakfast,The Altogether,Muse,Patrick Stump,The Front Bottoms,Halsey,Billie Eilish,BTS,
1553313600,0,8557938,0,0,0,0,0,0,0,0,
1553400000,0,5022486,0,0,0,0,0,0,0,0,
1553486400,1068641,6807882,0,0,5845205,0,0,0,0,0,
1553572800,0,5674578,0,0,0,0,0,0,0,0,
1553659200,0,4947394,0,0,3151610,0,0,0,0,0,
1553745600,0,9204078,0,0,0,0,0,1384709,0,0,
1553832000,0,1653189,0,0,1164140,0,0,0,0,0,
1553918400,0,1666663,0,0,0,0,0,0,0,0,
1554004800,0,4337821,0,0,3895732,0,0,0,0,0,
1554091200,0,6161689,0,0,3859752,0,0,0,0,0,
1554177600,0,0,0,0,6430160,0,0,0,0,0,
1554264000,0,2201284,0,0,3214055,0,0,0,0,0,
1554350400,426773,365600,0,0,0,0,0,201660,0,0,
1554436800,0,0,238375,0,0,0,0,0,0,0,
1554609600,0,7951444,0,0,0,0,0,0,0,0,
1554696000,0,182693,2646123,0,0,0,0,0,0,0,
1554782400,261325,0,3945948,8487004,0,0,0,0,0,0,
1554868800,0,0,10697835,0,0,0,0,0,0,0,
1554955200,0,0,5434143,1045844,0,0,0,0,0,0,
1555041600,40509,2596554,3657588,0,0,0,0,1566737,0,0,
1555128000,0,0,3503083,0,0,0,0,0,0,0,
1555214400,0,0,668523,0,0,0,0,0,0,0,
1555300800,0,182693,1731511,1414355,0,0,0,0,0,0,
1555387200,0,0,778478,4120416,0,0,0,0,0,0,
1555473600,0,1598999,0,8933472,0,0,0,0,0,0,
1555560000,0,0,0,3369838,0,0,0,0,0,0,
1555646400,0,0,0,0,0,0,0,731796,0,5185664,
1555732800,0,0,0,0,0,0,0,411711,0,550590,
1555819200,0,0,2125775,0,0,0,0,0,0,1995581,
1555905600,0,0,1291399,0,0,0,0,0,0,698712,
1555992000,0,0,12449078,0,0,0,0,0,0,218801,
1556078400,0,0,7889906,3157498,0,0,0,0,0,2528611,
1556164800,0,0,3744642,0,0,0,0,0,0,0,
1556251200,0,0,1356837,0,0,0,0,0,0,0,
1556424000,0,0,0,0,0,0,0,2917585,0,229813,
1556510400,0,0,6808280,0,0,0,0,1668815,0,0,
1556596800,0,0,1214041,0,0,0,0,98435,0,0,
1556683200,0,1096040,1234401,0,0,0,0,0,0,0,
1556769600,0,3778300,27114,0,0,0,0,0,0,1531282,
1556856000,0,0,0,448271,0,0,0,242757,0,0,
1556942400,0,332973,0,0,0,0,0,0,0,765870,
1557115200,0,0,704521,0,0,0,0,1104952,0,0,
1557201600,0,825079,0,0,0,0,0,0,0,2242795,
1557288000,0,0,0,1090557,0,0,0,0,0,0,
1557547200,0,0,0,187103,0,0,0,0,50240,0,
1557633600,0,0,730860,511925,0,0,0,0,0,0,
1557720000,0,0,0,0,0,0,0,482016,0,229773,
1557892800,0,0,0,330966,0,0,0,0,0,0,
1558065600,0,694400,0,0,0,0,279219,1118353,3833310,0,
1558152000,0,1552423,0,0,0,0,0,0,2791753,0,
1558238400,0,0,458328,0,0,0,0,0,0,0,
1558324800,0,0,0,0,0,0,0,0,640071,0,
1558497600,0,0,0,247420,0,0,4824555,0,0,0,
1558584000,0,0,448293,0,0,0,0,0,901644,0,
1558670400,0,19226,0,247420,0,0,159588,669696,631125,0,
1558756800,0,0,0,0,0,0,0,892395,0,0,
1558843200,0,0,0,247420,0,0,2685311,4719422,5836660,0,
1558929600,0,0,0,0,0,0,6311668,0,310593,0,
1559016000,0,0,0,247420,0,0,321153,0,0,0,
1559102400,0,0,446417,0,0,0,3700392,0,597221,0,
1559188800,0,0,0,0,0,0,4309553,0,972752,0,
1559275200,440054,407046,0,0,0,0,0,0,0,0,
1559534400,425692,394195,0,246237,0,0,217943,0,209920,0,
1559620800,431115,6696466,2634147,0,0,0,0,1177828,223750,0,
1559707200,1060955,3097216,0,750631,0,0,0,0,975826,0,
1559793600,2123936,11630430,0,44001,0,0,0,0,0,0,
1559880000,10580404,2299836,0,0,0,0,0,0,0,0,
1559966400,4928001,211520,0,0,41163,0,0,0,0,0,
1560052800,8783299,0,0,0,0,0,0,0,0,0,
1560139200,35193466,0,0,0,0,0,0,0,0,0,
1560225600,18591044,211520,0,0,0,0,0,0,0,0,
1560312000,27437311,0,0,0,0,0,0,0,0,0,
1560398400,23645527,0,0,0,0,0,0,0,0,0,
1560484800,38442159,0,0,0,0,0,0,0,0,0,
1560571200,10201976,0,0,0,0,6208,0,0,0,0,
1560657600,14572309,0,0,0,0,0,0,0,0,0,
1560744000,33812487,0,0,0,0,0,0,0,0,0,
1560830400,23208048,0,0,0,0,0,0,0,0,0,
1560916800,23134254,0,0,0,0,14589501,0,0,0,0,
1561003200,24300212,238353,0,0,0,7259780,0,0,0,0,
1561089600,28442471,0,0,0,0,4126650,1432820,0,0,0,
